dim,count,cp_m_o_m,milp_m_o_m,cp_std_o,milp_std_o,cp_std_o_m,milp_std_o_m
10x10,0,916.0,916.0,47.270498199193966,47.270498199193966,0.0,0.0
10x5,0,634.0,634.0,29.94160984315973,29.94160984315973,0.0,0.0
15x5,0,926.0,926.0,51.90857347298228,51.90857347298228,0.0,0.0
20x5,0,1182.8666666666668,1182.0,94.601797023101,94.601797023101,1.2256517540566825,0.0
5x3,0,340.5,340.5,51.09305236526782,51.09305236526782,0.0,0.0
5x5,0,380.4,380.4,43.46697341405055,43.46697341405055,0.0,0.0
5x8,0,597.0,597.0,51.80948004199831,51.80948004199831,0.0,0.0
8x8,0,682.8,682.8,91.23084273789576,91.23084273789576,0.0,0.0
