dim,count,cp_m_o_m,milp_m_o_m,cp_std_o,milp_std_o,cp_std_o_m,milp_std_o_m
10x10,0,879.2,879.2,64.63512976702376,64.63512976702376,0.0,0.0
10x5,0,657.0,657.0,44.57016939613311,44.57016939613311,0.0,0.0
15x5,0,929.6,929.6,40.832585027156924,40.832585027156924,0.0,0.0
20x5,0,1138.0,1132.0,131.52186130069785,127.27922061357856,6.617740907417225,0.0
5x3,0,324.6,324.6,33.53671288470459,33.53671288470459,0.0,0.0
5x5,0,372.0,372.0,43.16634491514579,43.16634491514579,0.0,0.0
5x8,0,575.4,575.4,54.734104744868375,54.734104744868375,0.0,0.0
8x8,0,643.2,643.2,70.31958791435318,70.31958791435318,0.0,0.0
