variant,size,cp_avg_median_time,milp_avg_median_time,cp_avg_median_obj,milp_avg_median_obj,cp_pct_optimal,milp_pct_optimal
basic_jssp,medium,129.0549409031868,114.09895122448603,614.7833333333333,614.7833333333333,83.33333333333334,83.33333333333334
d_jssp,medium,78.2820364077886,54.22069354454676,592.1228070175439,592.0175438596491,83.33333333333334,88.33333333333333
drc_jssp,medium,98.1993986082077,275.1647156953812,728.78,735.12,86.0,57.99999999999999
f_jssp,medium,172.00135724544526,125.75850335597993,436.88,432.06,80.0,82.0
r_jssp,medium,112.5661874294281,112.8424657980601,638.2833333333333,638.2833333333333,83.33333333333334,83.33333333333334
sdst_jssp,medium,87.0621988105774,217.2060926437378,580.52,606.78,90.0,66.0
t_jssp,medium,120.54839494625728,113.46361550092698,625.0166666666667,625.1833333333333,83.33333333333334,83.33333333333334
