dim,count,cp_m_o_m,milp_m_o_m,cp_std_o,milp_std_o,cp_std_o_m,milp_std_o_m
10x5,0,510.6,496.8,42.790185790669334,40.831360496559505,4.338530845010013,0.0
15x5,0,815.8,781.2,43.57981183988752,36.24499965512485,10.843591002323105,0.0
5x3,0,295.8,295.8,53.09906883468968,53.09906883468968,0.0,0.0
5x5,0,294.6,294.6,28.995018729276776,28.995018729276776,0.0,0.0
5x8,0,453.0,453.0,37.127408264575166,37.127408264575166,0.0,0.0
8x8,0,477.9,477.9,47.15800862820416,47.15800862820416,0.0,0.0
