dim,count,cp_m_o_m,milp_m_o_m,cp_std_o,milp_std_o,cp_std_o_m,milp_std_o_m
10x10,0,864.2,864.2,61.53210544098096,61.53210544098096,0.0,0.0
10x5,0,620.2,620.2,37.07694701563225,37.07694701563225,0.0,0.0
15x5,0,917.6,917.6,40.5006172792465,40.5006172792465,0.0,0.0
20x5,0,1182.0,1182.0,94.601797023101,94.601797023101,0.0,0.0
5x3,0,315.7,315.7,42.53116504400039,42.53116504400039,0.0,0.0
5x5,0,368.1,368.1,39.666526610397,39.666526610397,0.0,0.0
5x8,0,574.4,574.4,55.6580831705712,55.6580831705712,0.0,0.0
8x8,0,638.5,638.5,69.45702108338492,69.45702108338492,0.0,0.0
