dim,count,cp_opt,milp_opt,cp_feas,milp_feas,cp_avg_opt,milp_avg_opt
10x5,0,12,0,5,17,80.0,0.0
15x5,0,17,0,0,17,100.0,0.0
5x3,0,50,50,0,0,100.0,100.0
5x5,0,50,45,0,5,100.0,90.0
5x8,0,50,50,0,0,100.0,100.0
8x8,0,14,0,18,32,40.0,0.0
